index,text
 ,1713
中央,1197
社会,1186
主义,1122
全会,1015
委员,916
发展,895
党,760
"
",724
会主,704
经济,670
同志,572
政治,563
委员会,537
会议,506
改革,456
全国,445
领导,431
革命,382
主席,367
思想,355
新,341
代表,316
我国,315
制度,315
团结,315
共产,309
国家,303
阶级,288
共产党,286
政治局,275
全党,272
中,271
国共,270
中央委员会,268
大会,244
群众,244
中国共产党,240
中央政治局,229
精神,224
体制,223
农村,220
特色,214
文化,212
第十,210
民主,208
完善,207
提高,204
路线,199
农业,197
现代化,191
书记,191
事业,187
	,185
无产,184
毛泽东,183
干部,183
无产阶级,183
贯彻,180
斗争,175
组织,175
讨论,165
提出,163
胜利,161
科学,160
开放,160
作,159
体系,158
历史,155
一九,153
党内,152
基础,150
全体会议,148
体会,148
理论,147
法治,146
党中央,146
纪律,144
指出,143
毛主席,143
国民,142
中央委员,142
国际,139
统一,139
马克思,138
马克,138
一步,137
形势,137
进一步,134
文明,133
世界,132
各族,132
深化,130
努力,130
生活,130
稳定,129
报告,128
北京,127
族人,126
教育,126
各族人民,126
候补,124
战略,124
治理,122
邓小平,122
保障,122
计划,121
国民经济,121
奋斗,120
党员,119
市场,119
增强,118
政策,115
方针,113
检查,113
中共,113
加快,111
创新,108
指导,108
反对,108
依法,107
目标,103
审议,102
推动,102
执政,102
管理,101
建立,101
水平,100
执行,100
各项,99
机制,99
国代,98
机构,98
十八,97
监督,97
国内,96
民族,96
讲话,95
和谐,95
十一,95
宪法,94
总书记,94
原则,94
党和国家,93
健全,92
副,92
解决,92
八届,91
国主,90
九五,89
习近平,89
主持,88
能力,88
维护,87
关系,86
坚定,85
全国代表大会,85
毛泽东思想,85
工业,85
列宁,84
帝国,84
落实,83
一九五,82
改革开放,81
特别,81
十七,81
出席,81
保证,81
治国,80
常务,79
增长,79
作风,78
第一,78
实践,78
时期,78
列席,78
作用,77
协调,77
实施,76
解放,76
发挥,76
服务,75
号召,75
十六,75
中央纪律检查委员会,75
经济体制,74
切实,74
负责,74
经济体,74
旗帜,73
核心,73
重要讲话,72
政府,72
大革命,71
大革,71
党的建设,70
经验,69
运动,69
国人,67
三个,67
活动,67
修正,67
精神文明,66
学习,66
党的领导,66
高举,66
道路,65
环境,65
常务委员会,65
四人帮,64
力量,64
决议,64
十二,63
法律,63
三中,63
文化大革命,63
马克思主义,63
企业,62
农民,62
马克思列宁主义,62
改善,62
中共中央,62
小康,61
建议,60
候补委员,59
成就,59
十三,59
负责同志,59
基层,58
紧密,58
江泽民,58
十九,58
江泽,58
行政,58
局面,57
各国,57
分子,57
着力,57
困难,56
日至,56
城乡,56
锦涛,55
体制改革,55
带领,55
两个,55
创造,55
作出,55
胡锦涛,55
和平,54
部署,54
调整,54
情况,54
长期,54
时代,54
三个代表,53
改进,53
利益,53
内外,53
选举,53
决策,53
二十,53
意义,52
条件,52
这是,52
邓小平理论,52
党章,52
实行,52
依法治国,52
方式,52
林彪,51
构建,51
帝国主义,51
中华,51
资产,51
军队,50
系列,50
经济社会,50
治党,50
大旗,50
不移,50
坚定不移,50
阶段,50
伟大旗帜,50
小康社会,49
公社,49
全党同志,49
持续,49
修正主义,49
责任,48
结构,48
十五,48
统筹,48
素质,48
中心,47
十年,47
修改,47
资产阶级,47
关键,47
